新能源导电碳材料技术负责人,30-50k·14薪,无锡-梁溪区,无,统招本科,1.在总经理领导下，主管公司技术工作，组织编制公司技术开发和技术发展的长远规划；2.制定并审核公司技术管理制度和技术规程标准，且根据现状适时对其进行补充和完善；3.负责组织开展技术改进费用的分析工作，制定成本降低方案，有效控制费用；4.关注行业新技术，组织制定新产品开发计划，确保技术的超前性、竞争性；5.组织指导、监督技术工程师及时妥善处理生产过程中的技术问题；6.确保公司新项目技术方面的顺利推进，协助实施技术方案的评审工作，推动项目按时完成；7.对公司的主要技术和研发成果直接领导及指挥，保证与关联单位合作顺利，使研发成果落地，不断提高技术及工艺水平；8.具有良好的团队领导能力，对部门技术人员及时进行工作指导、安排培训；9.公司全面工程技术总结工作；10、完成领导交办的其他任务。任职要求：1、化学、材料相关专业；2、10年以上相关行业工作经历，且5年以上大型公司或项目管理经验；3、熟悉新能源汽车行业标准、法规及体系流程；4、熟悉导电碳材料及其衍生产品的工艺及体系流程；5、具备优秀的团队管理能力、领导能力、专业胜任能力及忠诚度；6、有创新意识，能准确把握行业脉搏，有较强的逻辑性，语言表达能力良好，优秀的沟通协调能力。
硅负极材料研发工程师,12-15k·13薪,常州,经验不限,硕士及以上,职位描述：岗位职责：1、负责硅碳、氧化亚硅等负极材料的应用研发、技术文件编写和硅碳批量导入；2、对硅碳、氧化亚硅等原材料供应商进行甄别和技术管控；3、负责实验室5S与实验仪器管理。任职要求：1、具有石墨/硅碳负极材料开发背景经验者优先；2、材料、化学、电化学等相关专业硕士及以上学历；3、具有良好的英文阅读能力、优秀的数据整理分析能力、熟练的报告撰写能力；4、具有3年以上锂电材料开发经验者优先；
研发工程师,10-15k,徐州,3-5年,硕士及以上,"职责描述：1) 担任项目核心研发人员, 负责新技术、新产品开发及中试生产技术指导；2) 负责收集国内外新技术、产品动向的技术资料；3) 负责编制相关技术文件,为有关部门提供技术支持；任职要求：1) 硕士学历及以上，精细化工, 化学化工、材料化学相关专业；2) 具有在煤焦油深加工、催化合成、碳材料、高分子材料、光电材料等应用开发经验者优先3) 对创新研究积极热情，责任心强；富有良好的沟通能力、执行力及抗压能力。工作地址：徐州市沛县经济开发区"
昂星新碳公司-高级工程师,9-11k,常州-金坛区,经验不限,硕士及以上,1.精通高分子功能复合材料相关行业知识技能，并有自己的判断力以及相关技术的深度积累；2.能快速学习并掌握同一领域多个研究方向上的知识和技能，有较优秀的技术管理协调能力和技术项目合作及推广能力；3.熟悉项目制的管理要求，具有组建小型项目团队的能力（≤5人），组织协调项目的立项/任务分解/任务分配，并负责推动项目计划的执行、结题和成果的分配等；4.有较好的组织沟通协作能力，能组织他人或合作者共同完成项目验收；5.有效推动技术项目的各资源合作，负责项目产品的研发、中试放大、产品应用开发合作、产品相关知识产权保护，协助产品的宣传推广等。任职要求：1.硕士及以上学历，理工科应届/往届生，复合材料、功能材料相关技术背景，良好的职业道德；2.具备良好的人际关系，成熟的人格，并拥有较强的学习能力、计划能力、理解能力、组织协调能力和自我管理的能力以及较强的执行力；3.热爱技术项目开发及项目管理工作，技术项目专业知识扎实、职业定位及规划清晰，思维活跃、逻辑清晰；4.具有一定技术项目（新型碳材料绿色环保制备及产业化，抗菌材料，导/散热材料，水性树脂材料，电磁屏蔽材料等）开发经验者优先；5.具有PMP、NPDP认证或项目管理经验者优先。
材料研发高级工程师,15-25k,苏州,5-10年,统招本科,工作职责：1.负责处理公司材料开发项目和公司新材料研究探索；2.负责处理公司各BG新材料项目异常和跟进；3.积极跟踪和挖掘3C行业内新材料趋势，提出新相关新材料项目；4. 主导产品从报价评估到开发量产全方位工作开展，是时间和成本等范畴内有效推进项目进度，并能指导他人；5.能够通过优化现有流程和工作方法解决工作中复杂、重大的问题，具备潜在工程风险识别及有效改善措施设定导入能力；6. 带领研发各类专案展开且能够保证有效输出，能够有效解决客户疑问，提升客户满意度，具备PDT leader水平并可承担其相关工程leader工作；7. 负责完成技术难度较高或复杂产品的引入开发，能够突破新技术，打破行业瓶颈，取得实用/发明专利，并转化为生产力，创造较大经济效益。任职要求：1.硕士及以上学历，材料相关专业，能看懂英语材料信息，具备一定的材料英语专业水平；2.良好的研发素质，独立负责项目管理经验3年以上；3.拥有丰富的材料研发经验，具有高分子材料、磁性材料、陶瓷材料或者碳材料背景加分； 4.具备团队合作精神，以结果为导向，积极主动；5.具有较强的创新能力和技术研判能力。
负极材料研发主管工程师,15-20k·14薪,苏州-昆山,3-5年,硕士及以上,岗位职责:1.钠离子电池负极材料合成（碳材料合成为主）；2.钠离子电池负极材料情报收集和总结；3.专利撰写；4.材料理化性能分析和电化学性能测试。任职资格:1.求学阶段研究方向为无定型碳合成；2.有较丰富的钠离子电池负极研发经验；3.在负极材料企业做石墨、软碳、硬碳研发有2年以上研发经验。
负极材料研发主管工程师 (职位编号：baoneng030426),15-20k,苏州-昆山,3-5年,硕士及以上,岗位职责:1.钠离子电池负极材料合成（碳材料合成为主）；2.钠离子电池负极材料情报收集和总结；3.专利撰写；4.材料理化性能分析和电化学性能测试。任职资格:1.求学阶段研究方向为无定型碳合成；2.有较丰富的钠离子电池负极研发经验；3.在负极材料企业做石墨、软碳、硬碳研发有2年以上研发经验。
塑料研发项目经理,20-35k·13薪,常州-武进区,5-10年,硕士及以上,职责描述：1、含导电碳材料的塑胶复合材料制备、配方改进及相关应用产品开发；2、能独立进行实验设计及产品应用开发；3、按照项目进度开展试验，并按期保质保量完成项目；4、能够按照客户要求改进产品设计及优化性能。任职要求：1、硕士及以上学历，化学类、材料类等相关专业；2、具有5年以上塑胶复合材料相关领域工作经验；3、熟悉各种塑胶原料基础知识与加工能力，具有塑胶材料特性改性能力，熟悉塑胶复合材料前沿领域进展和技术发展趋势；4、 具有材料力学分析经验，有操作挤出机及生产设备能力；5、有碳纳米管与石墨烯加工应用者优先；6、热爱研发工作，具备较强的技术和工艺资料收集分析和论文写作能力； 7、认真严谨，思路清晰，具有良好的沟通、协调、抗压力和学习能力。
塑料研发项目经理,薪资面议,镇江-京口区,5-10年,硕士及以上,职责描述：1、含导电碳材料的塑胶复合材料制备、配方改进及相关应用产品开发；2、能独立进行实验设计及产品应用开发；3、按照项目进度开展试验，并按期保质保量完成项目；4、能够按照客户要求改进产品设计及优化性能。任职要求：1、硕士及以上学历，化学类、材料类等相关专业；2、具有5年以上塑胶复合材料相关领域工作经验；3、熟悉各种塑胶原料基础知识与加工能力，具有塑胶材料特性改性能力；4、有碳纳米管与石墨烯加工应用者优先。
大客户销售,20-25k,南通,经验不限,本科及以上,南通市通州区某半导体行业新材料公司高薪招聘销售总监、销售经理。公司主要从事碳化硅石墨涂层、碳复合材料产品、碳化钽等高端产品的研发、生产和销售，产品涉及半导体工业的单晶硅生长炉用石墨件等领域。职位：销售总监、销售经理薪酬待遇：1-3万月薪，外加销售提成，公司提供免费住宿公寓。职位要求：1、本科以上学历；2、2-5五年以上半导体行业销售工作经验；3、年龄在25至35岁之间；4、有光电、芯片企业的石墨件材料销售经验优先。
人事主管,7-8k·13薪,盐城,5-10年,本科及以上,职责描述：1.5年及以上人力资源工作经验，2年及以上管理经验。2．熟悉人力资源管理各个职能模块均有较深入的认识，熟悉国家相关的政策、法律法规；3．具有很强的人力资源专业能力，沟通抗压能力、资源整合能力以及高层对话能力。具有丰富的人脉和人力资源储备信息。4．大型企业、制造业、化工行业工作经验者优先考虑；任职要求：1.	本科及以上学历2.	5年大型企业人事工作经验，3年以上管理经验。3.	熟悉人力资源6大模块、熟悉人事相关法律政策；4.	年龄27-38岁（硬性要求）。
检测工程师,6-8k·13薪,盐城,1-3年,本科及以上,职责描述：1.   负责日常产品制样，复合力学检测检测；2.   研究和探讨实验室制样方法及测试方法的建立和优化；3.   编写相关计算说明、检测报告等，分析测试结果，为研发中的材料提供检测方案。4.   提出测试过程中出现的各种问题的解决方案等。任职要求：1.高分子材料、复合材料、材料学等相关本科及以上学历；2.在复合材料成型及加工方面具有较强的实际操作能力；3.熟悉复合材料性能检测技术优先，熟悉通用复合材料行业用ISO标准及ASTM标准优先；4.熟悉复合材料领域国内外技术与市场发展动态，可根据市场情况提出发展建议；5.具备学习、分析能力，具有较强的创新意识。
检测课长,15-20k·14薪,盐城,5-10年,本科及以上,职责描述：1、负责编制实验室日常工作计划，并组织实施和检查执行情况并汇报；2、负责实验室检测能力的建立及建全工作；3、负责实验室技术人员能力培养与提升工作；4、负责实验室数据的收集、分析、规整以及测试数据库的建立与完善工作；5、负责实验室日常7S管理工作。 6、负责实验室与外部检验机构的沟通、交流工作。 7、负责实验室与公司内部需求单位间沟通协调工作。任职要求：1、化工、化学、高分子材料、复合材料、材料学等相关本科及以上学历；2、2年左右第三方测试机构（从事复合材料及相关材料检测及认证，有CNAS认证资质的。）工作经验；3、从事过风电行业GL认证并熟悉其相关流程及要求的优先。
风电技服工程师,7-15k·13薪,盐城,1-3年,大专及以上,职位要求：1.主要负责风电拉挤碳板及预浸料技术服务相关工作；2.有拉挤碳板及预浸料叶片应用经验优先；3.制定风电技术改造、技术升级方案并组织实施 ；4.风电电控部件批量损坏问题技术分析，提供解决优化方案；5.为销售工作提供技术支持，根据客户要求，编写技术方案，编写技术报告，为客户进行讲解等；6.上级主管交办的临时相关工作。任职要求：1.熟悉国家关于风电及分布式风电的相关政策、标准和行业规范；2.具备强烈的责任感、良好的敬业和团队合作精神及沟通能力；3.具有在风电设计单位相关工作经验者优先。
制程工程师,7-10k·13薪,盐城,3-5年,本科及以上,1.职责要求：1.制程优化  2.自动化开发 3.复合材料（拉挤或PPG工艺）或自动化开发相关经验3年及以上4.能跟线生产，配合解决制程异常。
风电销售工程师,10-15k·13薪,盐城,1-3年,本科及以上,职位要求：1.自行开发客户，国内国外不限2. 负责维护风电行业客户；3. 负责国外客户接待、业务联络；4. 负责文件翻译，精通英语（读，说，写）英语要特别好；5. 主管交办的其它工作 。任职要求：1.熟练操作常用操作办公软件；2.能适应长期出差，责任心强，具有很强的执行力；3.有电力设备、风电的销售经验更佳。
复合材料销售工程师,10-15k·13薪,盐城,1-3年,本科及以上,职位信息：1.负责各种途径调研热塑材料市场需求，在目标市场进行推广，开发新客户；2.及时了解送样客户试用信息，并在客户试用期间提供技术支持；3.及时反馈客户的抱怨及投诉，并协助相关部门进行处理；4.客户关系的日常维护；客户订单、出货、回款的督促。5.自行开发客户，国内国外不限；6.负责维护非风电行业客户；负责国外客户接待、业务联络；7. 负责文件翻译，精通英语（读，说，写）；8.主管交办的其它工作 。任职要求：1.大专及以上学历，化工类专业相关专业优先考虑；2.有一年以上复合材料行业相关工作经验，有电力设备的销售经验更佳；3.责任感强，具有高度敬业精神、团队合作精神；具备良好的沟通及表达能力；4.具有市场拓展能力，新客户开发能力；5.能适应长期出差，责任心强，具有很强的执行力；
助理工程师,5-7k·13薪,盐城,一年以下,统招本科,职责描述：1、研发部定向培养工程师，主营预浸料，热塑材料，拉挤碳板；2、本科及以上学历应届毕业生即可，、；3、专业必须是是复合材料、材料分子学相关专业、化学工艺、高分子材料相关专业；      其他专业务投
金属材料工程师,7-12k·13薪,无锡-锡山区,5-10年,统招本科,岗位职责：1、	负责编制集团范围内的金属材料（碳钢、不锈钢）培训教材，对各子公司实施培训；2、	协助解决各公司与客户之间的质量异议，从材料的性能、使用等方面给与技术支撑；3、	协助集团开发客户，从选材、工况、性能变化、热处理等方面给与参考意见；4、	协助集团各公司对接、解决与上游各大钢厂的材料异议与质量纠纷；5、	负责搜集、汇总集团各公司对应各钢厂开平板的性能差异，拿出相应数据，为laserpius课题提供理论支撑；6、	协助质量主管开展各公司现场巡查，指导现场提高各公司质量管理水平。任职要求：1、	全日制本科及以上学历，材料科学、金属工艺或相关专业；2、	40岁以下，3年以上相同或类似岗位工作经验，大型钢厂及有产品开发经验者优先录用；3、	精通不锈钢、碳钢材料的成分、机械性能、应用及其他性能特征；4、	能够给出各类金属产品特别是碳钢、不锈钢产品的相关应用设计建议，熟悉金属热处理公益；5、	能够协助客户解决碳钢、不锈钢所涉及产品的相关技术问题；6、	熟练掌握各类办公软件；
生物实验,10-14k,苏州,经验不限,本科及以上,岗位职责：1.负责碳基纤维复合材料的应用研发与设计；2.负责碳基纤维复合材料制备工艺及优化；3.负责为产品结构设计提供复合材料的选择方案；4.负责工艺及复合材料分析，制定改善方案幵实施。5.负责领域内新工艺调研、技术路线设计与集成、新工艺实验平台搭建、制备工艺优化和新工艺放大量产化等工作。职位要求：1.硕士、博士及以上学历，机械工程、复合材料与工程、高分子材料、材料化学等教育背景；2.高分子复合材料成型加工、生产应用3年以上工作经验（包括成型工艺，配方设计，技术支持等）。3.熟悉各种纤维复合材料测试方法及标准，熟练使用材料测试仪器；4.精通纤维复材研发、材料树脂配方、产品管理、原材料研发、工艺试制等方面；5.了解复合材料零件结构设计和强度分析、了解复合材料用树脂、纤维等性能特点；6.掌握碳纤维复合材料选型、产品研发设计和成型工艺及生产制备；7.对实验设备的搭建有直接经验（包括实验周边设备，实验测试设备等）。8.熟悉产品开发运作流程，熟悉项目管理；9.具有快速学习能力、分析总结能力、良好的沟通能力和团队合作精神。10.英语流利，专业英语沟通无障碍。
实验室技术员,5-8k,苏州-太仓,一年以下,大专及以上,岗位职责：1.负责碳基纤维复合材料的应用研发与设计；2.负责碳基纤维复合材料制备工艺及优化；3.负责为产品结构设计提供复合材料的选择方案；4.负责工艺及复合材料分析，制定改善方案幵实施。5.负责领域内新工艺调研、技术路线设计与集成、新工艺实验平台搭建、制备工艺优化和新工艺放大量产化等工作。职位要求：1.复合材料与工程、高分子材料、材料化学等教育背景；2.高分子复合材料成型加工、生产应用1到3年工作经验（包括成型工艺，配方设计，技术支持等）。3.熟悉各种纤维复合材料测试方法及标准，熟练使用材料测试仪器；4.精通纤维复材研发、材料树脂配方、产品管理、原材料研发、工艺试制等方面；5.了解复合材料零件结构设计和强度分析、了解复合材料用树脂、纤维等性能特点；6.掌握碳纤维复合材料选型、产品研发设计和成型工艺及生产制备；7.对实验设备的搭建有直接经验（包括实验周边设备，实验测试设备等）。8.熟悉产品开发运作流程，熟悉项目管理；9.具有快速学习能力、分析总结能力、良好的沟通能力和团队合作精神。10.英语流利，专业英语沟通无障碍。
材料工程师,6-8k,连云港,经验不限,统招本科,职责描述：1、产品工艺制定，执行与改进；生产效率优化，工装设计等。2、参与研发材料选择、性能检测，现有材料性能和成本优化，现场工艺跟踪等。任职要求：1、复合材料、金属材料、金属加工化工、机械、自动化等相关专业；2、善于沟通与总结，持之以恒，有进取精神，学习能力强，能够熟练使用办公软件和CAD；3、有复合材料产品生产经验优先。
热管理材料研究员,5-10k,常州-武进区,1-3年,本科及以上,职责描述：碳基热管理材料研发任职要求：1.具有材料或者化学背景，熟悉材料检测方法，具备表征数据分析能力。2.具有一定的化学实验基础，有相关实验和测试经验者优先；3.具有一定的口头及图文汇报能力，具有较强的时间观念。
电焊工,5-8k,无锡-新吴区,1-3年,中专/中技及以上,职责描述：1.负责各种碳钢材料焊接，钢结构架焊接者优先2.按焊接工艺要求和图纸要求，正确的进行点焊组装，尺寸合格按图焊接，焊后打磨，自检3.能独立看图完成焊接，熟悉材料工艺焊接任职要求：持有焊工证，有上进心能服从管理，有团队合作精神
工业/产品设计,5-10k,南京,3-5年,本科及以上,通信铁塔及其组件部件的分析，改良与设计产品质量把控抗压能力强，接受加班和出差，对铝合金，不锈钢及普通碳钢材料精通，熟悉以上材料的表面处理工艺。有铁塔方面设计或施工经验者优先考虑。
农用材料开发工程师,15-20k·14薪,常州-武进区,经验不限,博士,职责描述：碳基农用材料研发任职要求：专业技能要求：1.农学背景，具有扎实的学术经历；2.具有管理能力，具有一定的口头及图文汇报能力，具有较强的时间观念。其他要求：1.具有管理能力，乐于表达；2.工作踏实主动，作风严谨；3.责任心强，有团队精神
正极材料开发研究员,10-20k·15薪,扬州-广陵区,3-5年,硕士及以上,职责描述：(1)负责高镍材料或硅负极的技术开发(2)负责材料新产品的工艺定型(3)负责正极材料或石墨和硅碳等负极材料在应用端的评估和导入，以及正极配方开发任职要求：(1)硕士及以上学历，博士优先；电化学/化学/材料/物理化学或相关专业；(2)2年以上锂电正极材料或负极材料行业工作经验，优秀应届博士亦可；(3)主导过高镍三元材料开发或负极材料和量产工作的优先，熟悉材料的性能分析和评估应用(4)有较强的创新意识，有团队合作精神，语言表达与沟通能力强，熟练撰写技术报告
碳钢销售助理,5-8k·13薪,无锡-锡山区,1-3年,大专及以上,任职要求：1、材料、冶金相关专业优先（应届毕业生优先）；2、具备工程机械行业、工艺加工等工作经验，熟悉碳钢加工方式及流程者优先；3、人品正派、吃苦耐劳，学习沟通能力强，需要有较强的自我完成特性。工作职业：1、碳钢工程项目、材料客户开发、维护；2、对各部门碳钢特殊钢销售推进、指导；3、配合子公司联合开发客户；4、对采购相关事宜协调推进；5、协调公司内部人员，整合集团公司资源；6、领导要求的其他相关工作。
复合材料研发工程师,10-25k,泰州-姜堰区,1-3年,硕士及以上,工作内容：1. 参与客户拜访，对接产品需求；2. 主导具体产品开发，初始工艺设计；3. 主导负责产品的专利布局；4. 负责设计优化/更新换代，或成型工艺持续改进等。任职资格：1. 2年及以上连续碳纤/玻纤复合材料制品开发经验；2. 熟悉模压/热压罐/连续复合工艺；3. 有结构设计/树脂开发/热塑复合经验者优先；
焊接机器人调试,8-15k,南京-江宁区,3-5年,大专及以上,职责描述：有两年以上工艺调试工作经验，熟悉常见焊接机器人操作及焊接系统异常处理，熟悉常见焊接缺欠分析并解决，具备良好的交流沟通能力。专业技能：1、 熟悉常见（发那科、安川、ABB、KUKA）焊接机器人，可进行编程、示教、操作、调试及异常处理；2、 熟悉常见焊接设备，如焊接电源、激光跟踪、起始点寻位、自动清枪等，进行常见异常处理；3、 熟悉氩弧焊工艺，可独立完成焊接参数调整、焊接质量判断、焊接缺欠分析、记录参数及试验过程并撰写总结报告；4、 熟悉不同厚度（2-50mm）、不同焊接形式（对接、角接、T型）、不同材料（碳钢、不锈钢、铝合金等）、不同焊接方法（MIG/MAG/CO2/TIG）等常见焊接工艺；5、 熟悉Solidworks、Autocad软件，能读懂常见结构图，熟悉常用焊接夹具。岗位职责：负责给客户打样，工艺优化；负责项目中焊接系统调试，验收及后期现场问题处理工作完成公司领导及研发部安排的临时工作任务
普工操作工,6-7k,南通-如皋,经验不限,学历不限,职责描述：南通中鼎复合材料有限公司作为国家高新技术企业，是专业生产碳纤维管、3K碳管、碳素箭杆、碳纤维板、打草机碳纤维杆等碳纤维制品以及玻璃纤维复合材料为主导产业的企业，并致力于不同领域的碳纤维管材的供应与相关工程服务。碳纤维作为战略性新兴材料，在“十三五”期间将迎来重要的战略发展机遇，近年来，碳纤维材料正由成长期进入到快速应用期，中鼎公司依据自身在碳纤维及其复合材料方面的优势，通过引进、消化、吸收国际国内先进的技术、工艺、设备，通过与客户的紧密合作，针对航空航天、风电叶片、交通、机械、运动休闲以及国防等领域开发出碳纤维管、碳纤维道闸杆、机器人伸缩臂、手机自拍杆、油田勘探电池管、帆船桅杆等碳纤维复合材料制品。任职要求：1，服从公司生产管理制度，工作态度认真；2，常日班，8小时工作制，有相关工作经验者优先录取；3，对表现优秀者，有提升为管理岗位的空间。
碳钢销售员,5-10k·13薪,无锡-锡山区,1-3年,本科及以上,任职要求：  1、2-3年碳钢钢贸经验；  2、具备工程机械行业、工艺加工等工作经验，熟悉碳钢加工方式及流程者优先；  3、人品正派。吃苦耐劳，学习沟通能力强，需要有较强的自我完成特性；  4、本科学历，材料机械专业优先。工作职责：  1、碳钢工程项目、材料客户开发、维护；  2、对各部门碳钢特殊钢销售推进、指导，配合分子公司联合开发客户；  3、对采购相关事宜协调推荐；  4、协调公司内部人员，整合整个公司资源；  5、完成领导要求的其他相关工作。
电化学体系岗（钠电方向）,15-30k·15薪,无锡-锡山区,3-5年,硕士及以上,职责描述：1. 负责钠离子正极材料NaFePO4、Na3V2(PO4)3等、负极材料硬碳等合成、表征，相关材料在电池原型样品中的性能测试和分析；2. 负责完成新技术调研、评估和新材料的评测、分析等任务；3. 负责钠离子电池等前沿技术信息调研、与相关单位合作交流等工作；4.承担部门其他工作。任职要求：1. 27-45岁，化工、电化学、材料等相关专业毕业，硕士以上学历2. 有独立思考并有很好的动手能力，熟悉新型电池的关键材料制备方法和相关工艺及评价方法；3. 掌握钠离子电池等新型电池体系的原理和相关材料的知识，了解相关电池材料的技术发展，具有相关电池材料研发行业经验在大学、国家科研机构和高科技公司科研部门有新型电池前沿领域的研发经验优先4.软件技能：计算机国家二级5.专业要求：化学、物理或材料专业6.英语要求：英语六级以上，能熟练快速阅读英文文献；
研发工程师（负极材料）,15-25k·13薪,常州-溧阳,经验不限,本科及以上,岗位职责：1、协助上级进行负极材料（硬碳、软碳）方向的研发及中试工作；2、协助上级进行原料、半成品、成品的研发、中试生产工艺和流程探索以及检测分析；3、协助上级进行实验数据汇总、分析、整理，及时解决遇到的技术问题；4、跟进国内外本领域知识产权进展，协助进行项目申报及知识产权管理工作；5、完成领导安排的其他工作；任职要求： 本科及以上学历，材料、化工、电化学等相关专业相关专业；有1年以上大中型锂离子电池负极材料公司研发及管理经验
高级研发工程师（气瓶）,10-20k,苏州,3-5年,硕士及以上,职责描述：（1）负责前瞻技术的调研，定期报告并对关键技术攻关开展立项、攻关工作。（2）负责复合材料气瓶市场需求的调研，客户需求导入及市场支持性工作；（3）重点负责四型高压复合气瓶的设计、工艺技术、装备等开发工作；（4）重点负责塑料内胆材料成型、碳纤、树脂等应用研究；（5）重点负责研究制定工艺技术路线、关键工序的工艺评定等。4、人员招聘需求：（1）本科及以上学历，复合材料、高分子、机械等相关专业；（2）有四型高压复合气瓶研发设计、工艺研究、干法缠绕等工作或项目经验者优先；（3）可熟练使用二维、三维绘图、有限元分析软件等；（4）英语要求：四级及以上，能熟练阅读外文文献及相关标准；（5）适应出差及高效的工作节奏要求。
技术研发工程师（高级）,15-20k,江苏,5-10年,统招本科,职责描述：1、主导并负责新品材料成型工艺的编制（油压、多工位连续冷锻、热锻等）；2、主导并负责新品材料成型模具的设计（油压、多工位连续冷锻等）；3、主导新品开发过程中成型问题点的改善直至最终解决；4、参与社内量产品的工艺改善。任职要求：1、35-50岁，本科及以上学历，材料成型相关专业为佳；2、5年及以上汽车用冷锻（油压、多工位连续冷锻）产品开发（工艺设计、模具设计）经验；3、熟练使用相关的制图、分析软件；4、熟知冷锻件的一般缺陷，较好的分析问题及解决问题的能力；5、熟悉相关的锻压设备，如油压机、锻床、冲床、多工位冷锻机等；6、熟悉不同材料的冷锻性能，熟知碳钢、铝合金等材料性能为佳。
系统工程师,8-10k·13薪,连云港,3-5年,统招本科,连云港徐圩港口投资集团有限公司是江苏方洋集团有限公司和连云港石化产业园有限公司共同出资的合资公司，成立于2011年2月21日，注册资本450000万元人民币，总资产99.27亿元。作为徐圩港区的开发建设和运营主体，公司承担港口开发建设和运营管理任务，主营业务包括码头建设工程施工、港口基础设施开发、建筑材料、金属材料、环保材料、煤碳、化工产品（危化品除外）销售、危化品经营、仓储服务、装卸服务等。目前，公司拥有散杂货、多用途、液体化工等4个码头6个泊位及后方陆域堆场。随着徐圩新区开发建设如火如荼，园区产业项目纷纷落户并建成投产，徐圩港区作为服务腹地经济和后方临港产业的重要地位凸显。公司以此为契机，结合自身码头及后方堆场等稀缺优质资产的运作，以装卸、物流、仓储服务为基础，构建“平台+基地”模式，完善“运营方+贸易方+服务方+作业基地”的服务体系，重点打造煤炭、钢铁、有色金属大宗商品集散交易中心、冷链物流中心、航运服务中心，依托徐圩新区综合保税区，进一步发挥港口优势，着力推动“区港联动”的发展局面。在未来的发展中，公司将积极抢抓国家“一带一路”、“江苏沿海开发”重大战略机遇，以构筑大平台、引进大项目、培育大产业、建设大港口为目标，不断积累港口建设经验、培育经营管理人才，以自营、联营、合资入股等多种方式促进公司业务的蓬勃发展，为客户提供最优化的港口物流供应链服务。职责描述：1.负责港区智能化工程的设计施工建设管理工作；2.及时解决智能化工程项目中的技术难题及需要解决的矛盾；3.负责港区通信、网络、智能化服务保障管理工作；4.负责港区生产运营相关工作。任职要求：1.省属重点本科及以上学历；计算机及通信相关专业；2.3年以上信息、智能化运维工作经验；3.能够熟练操作办公软件及CAD软件。
机械工程师,8-10k·13薪,连云港,3-5年,统招本科,连云港徐圩港口投资集团有限公司是江苏方洋集团有限公司和连云港石化产业园有限公司共同出资的合资公司，成立于2011年2月21日，注册资本450000万元人民币，总资产99.27亿元。作为徐圩港区的开发建设和运营主体，公司承担港口开发建设和运营管理任务，主营业务包括码头建设工程施工、港口基础设施开发、建筑材料、金属材料、环保材料、煤碳、化工产品（危化品除外）销售、危化品经营、仓储服务、装卸服务等。目前，公司拥有散杂货、多用途、液体化工等4个码头6个泊位及后方陆域堆场。随着徐圩新区开发建设如火如荼，园区产业项目纷纷落户并建成投产，徐圩港区作为服务腹地经济和后方临港产业的重要地位凸显。公司以此为契机，结合自身码头及后方堆场等稀缺优质资产的运作，以装卸、物流、仓储服务为基础，构建“平台+基地”模式，完善“运营方+贸易方+服务方+作业基地”的服务体系，重点打造煤炭、钢铁、有色金属大宗商品集散交易中心、冷链物流中心、航运服务中心，依托徐圩新区综合保税区，进一步发挥港口优势，着力推动“区港联动”的发展局面。在未来的发展中，公司将积极抢抓国家“一带一路”、“江苏沿海开发”重大战略机遇，以构筑大平台、引进大项目、培育大产业、建设大港口为目标，不断积累港口建设经验、培育经营管理人才，以自营、联营、合资入股等多种方式促进公司业务的蓬勃发展，为客户提供最优化的港口物流供应链服务。职责描述：1.负责港区机械设备设计、安装调试、日常管理维护和安全管理工作；2.负责港区机械设备图纸会审及设计交底工作；3.及时解决机械设备项目中的技术难题及需要解决的矛盾；4.负责港区生产运营相关工作。任职要求：1.省属重点本科及以上学历；机械设计与制造、机电工程等相关专业；2.3年以上机械设备管理运维工作经验；3.能够熟练操作办公软件及CAD软件。
港航工程师,8-12k,连云港,5-10年,统招本科,连云港徐圩港口投资集团有限公司是江苏方洋集团有限公司和连云港石化产业园有限公司共同出资的合资公司，成立于2011年2月21日，注册资本450000万元人民币，总资产99.27亿元。作为徐圩港区的开发建设和运营主体，公司承担港口开发建设和运营管理任务，主营业务包括码头建设工程施工、港口基础设施开发、建筑材料、金属材料、环保材料、煤碳、化工产品（危化品除外）销售、危化品经营、仓储服务、装卸服务等。目前，公司拥有散杂货、多用途、液体化工等4个码头6个泊位及后方陆域堆场。随着徐圩新区开发建设如火如荼，园区产业项目纷纷落户并建成投产，徐圩港区作为服务腹地经济和后方临港产业的重要地位凸显。公司以此为契机，结合自身码头及后方堆场等稀缺优质资产的运作，以装卸、物流、仓储服务为基础，构建“平台+基地”模式，完善“运营方+贸易方+服务方+作业基地”的服务体系，重点打造煤炭、钢铁、有色金属大宗商品集散交易中心、冷链物流中心、航运服务中心，依托徐圩新区综合保税区，进一步发挥港口优势，着力推动“区港联动”的发展局面。在未来的发展中，公司将积极抢抓国家“一带一路”、“江苏沿海开发”重大战略机遇，以构筑大平台、引进大项目、培育大产业、建设大港口为目标，不断积累港口建设经验、培育经营管理人才，以自营、联营、合资入股等多种方式促进公司业务的蓬勃发展，为客户提供最优化的港口物流供应链服务。职责描述：1.负责码头工程、航道工程、围堤及后方陆域工程项目施工建设管理工作；2.负责工程项目的招投标启动工作；3.组织工程项目图纸会审及设计交底工作；4.参加工程项目监理例会，及时解决工程项目中的技术难题及需要协调解决的现场矛盾；5.负责工程项目的计量初审工作；配合造价工程师做好计量审核工作；6.负责工程项目的中间及交竣工验收工作；7.完成上级交办的其他工作任务。任职要求：1.省属重点本科及以上学历，港口航道及海岸工程、水利工程等相关专业，5年以上相关岗位工作经验；2.良好的协调、组织管理能力；3.具有良好的团队精神和较强的沟通能力。
