data1,data2,title,timedate,content
137,0,这里的热闹比宏慌之力和蕾神之锤要精彩[呲牙],股友JBWNHD,12-22 08:25,这里的热闹比宏慌之力和蕾神之锤要精彩
449,1,今明两天有公告，根据a股的尿性，主力资金必然提前知,耍吠帮耍出瘾来了,12-22 07:38,今明两天有公告，根据a股的尿性，主力资金必然提前知晓狗抗的结果，所以对于散户来说如何判断狗抗的命运，只需看今明两天华北制药的走势就一目了然了。
172,0,华北制药：融资净偿还467.23万元，融资余额6.88亿元（,华北制药资讯,12-22 07:27,"来源：东方财富Choice数据  作者：财智星   华北制药融资融券信息显示，2021年12月21日融资净偿还467.23万元；融资余额6.88亿元，较前一日下降0.91% 融资方面，当日融资买入2171.7万元，融资偿还2638.93万元，融资净偿还467.23万元。融券方面，融券卖出0股，融券偿还0股，融券余量22.5万股，融券余额241.2万元。融资融券余额合计6.91亿元。 华北制药融资融券交易明细（12-21） 华北制药历史融资融券数据一览 免责声明：本文基于大数据生产，仅供参考，不构成任何投资建议，据此操作风险自担。 .autoimg {display: block;border: 0;max-width: 100%;margin: 0 auto;} .tbl {border-collapse: collapse;border-spacing: 0;text-align: center;width: 100% !important;} .tbl tr th, .tbl tr td {border: 1px solid #d8e6ff;padding: 5px;text-align: center;} .tbl tr th {color: #fff;background-color: #1c65b0;vertical-align: middle;} .tbl tr td {color: #000;background-color: #fff;} .imgtitle {text-indent: 0;text-align: center;color: #2395F1;} .autosrc {color: #999;display: block;text-align: center;margin-bottom: 5px;} （文章来源：东方财富Choice数据）  [点击查看原文]"
446,7,2021年10月，经省委研究决定，杨印朝同志主持冀中能源,花泽812,12-22 06:25,冤枉郝竹山秘书长了，原来杨印钞这小子上来开始拖欠华药部分员工薪水的了？ 冀中能源 集团人事变动偷偷摸摸呀！
177,0,你脑子再怎么蠢，“股价反映一切”这个逻辑总应该明白,耍吠帮耍出瘾来了,12-22 05:18,你脑子再怎么蠢，“股价反映一切”这个逻辑总应该明白的吧。注意吧里有鬼，太阳底下没有新鲜事
151,3,狗抗还有救吗,欢天喜地小蛋壳,12-22 00:48,狗抗还有救吗
121,1,看到这么多唱空的，我就知道这股还有希望。,纠结的名字,12-22 00:45,看到这么多唱空的，我就知道这股还有希望。
145,1,321！！！！,股友957P9f7318,12-22 00:31,321！！！！
85,0,不管别人怎么评价，坚持自己的看法,Li24,12-21 23:47,不管别人怎么评价，坚持自己的看法
112,0,那些喷9527的，麻烦加上前缀好么，，，,daddyof9527,12-21 22:20,那些喷9527的，麻烦加上前缀好么，，，
81,0,等回踩20均线在看,股友B2Jg09,12-21 21:53,等回踩20均线在看
382,3,今年批了那么多创新中药，参乌胶囊怎么批不下来呢。李,八方兴隆地袁承志,12-21 21:44,今年批了那么多创新中药，参乌胶囊怎么批不下来呢。李林教授能量不行啊
1666,16,关于大家在问的未启动的几项任务，我搜索了半天也不太,SlowFen,12-21 21:27,关于大家在问的未启动的几项任务，我搜索了半天也不太清楚…所以查了一个二类新药，同是优先审批的，也是有几项内容没启动而审批结束，不晓得一类新药有没有其他限制。（有懂这个的兄弟希望能不吝赐教，略说一二 ）
447,7,今天我出了，虽然说只有几十手，但是也特么亏我几大千,话说瓜皮,12-21 21:20,今天我出了，虽然说只有几十手，但是也特么亏我几大千，我看到有人评论，还在问注册审批哪个，我也是服了，真的能够下来，今天也不至于跌这么多，所有和他有关的板块全是红的，这个不横盘也就算了，还特么跌3个点，真的无语，再也不碰这种超级的股票，还有一个今天涨停板160多家阿，大哥，不是我埋怨阿，你那怕微涨一丢丢我也不至于这么大冤气
360,5,怎么查药品审批流程啊,好大一盆酸菜鱼,12-21 21:12,怎么查药品审批流程啊
393,9,今天大跌是怕狗抗不通过？还是怕审批又要延期？还是其,斐然富贵的钟馗,12-21 21:11,今天大跌是怕狗抗不通过？还是怕审批又要延期？还是其他未知原因？有哪位比较接近公司的大佬来说说
103,0,今天华药大跌是不是和南新制药大涨有什么关系？,实事求是789,12-21 20:49,今天华药大跌是不是和南新制药大涨有什么关系？
246,4,明天下来可以买了，就这样折磨主力，叫你不干人事。[,失败的浙江小股民,12-21 20:42,明天下来可以买了，就这样折磨主力，叫你不干人事。
108,0,没人研究CDE审批政策吗？,斐然富贵的钟馗,12-21 20:24,没人研究CDE审批政策吗？
353,6,诱多，明天低开跌停大概率,股友fdghffh,12-21 17:54,诱多，明天低开跌停大概率
226,2,真不错我一共买了两只，加了11个自选，今天我买的两只,清晨的猫,12-21 17:20,真不错我一共买了两只，加了11个自选，今天我买的两只都跌了，其他的全红，这两只里面就有你一个
2359,14,理论上来说，如果不出幺蛾子年底可以收到批件了。刚才,斐然富贵的钟馗,12-21 17:19,理论上来说，如果不出幺蛾子年底可以收到批件了。刚才特意查了一个其他的生物药，一个星期后离开补充资料队列，进入nmpa审批，再二个星期后可以收到批件，刚刚赶在12.31号之前
855,11,没想到高速没成了华公公的股东，叫挖煤的截胡了。世事,股友V0133r6612,12-21 16:16,没想到高速没成了华公公的股东，叫挖煤的截胡了。世事难料变化太快啊。
113,1,3000多只股票涨你跌!你也是人才,股友6K300579v2,12-21 15:46,3000多只股票涨你跌!你也是人才
168,2,狗庄砸盘也砸不出啥来，没什么人卖,east_south_west,12-21 15:32,狗庄砸盘也砸不出啥来，没什么人卖
87,0,你这个,云雨风雨风风,12-21 15:24,你这个
99,0,庙小妖风大,股友81GyqA,12-21 15:13,庙小妖风大
158,1,还可以坚持10个点。。。,daddyof9527,12-21 15:12,还可以坚持10个点。。。
131,1,这庄真不要脸,红红火火108,12-21 14:42,这庄真不要脸
124,0,九安医疗是真他niang的牛叉，一个多月都6倍了,吉祥四海得小乔,12-21 14:31,九安医疗 是真他niang的牛叉，一个多月都6倍了
123,0,印度都能搞出来，华药要是爆雷的话。那真是个笑话,寻找骆驼草,12-21 14:11,印度都能搞出来，华药要是爆雷的话。那真是个笑话
108,0,妖气环绕，种来个跌停。看看有人秒你没有,恭喜纳福de段正淳,12-21 14:11,妖气环绕，种来个跌停。看看有人秒你没有
100,0,10.73收盘没悬念,理智得惊奇队长,12-21 14:09,10.73收盘没悬念
94,0,吓唬谁呢。,恭喜纳福de段正淳,12-21 14:09,吓唬谁呢。
84,0,浪费今天行情,念旧哦,12-21 14:07,浪费今天行情
93,0,这垃圾就是这样,股友nMCQG0,12-21 14:05,这垃圾就是这样
109,0,估计今天涨停没悬念,股友TG7tW3,12-21 14:00,估计今天涨停没悬念
151,2,这20日均线有点远啊？赶紧上来吧？,韭菜盒子煎鸡蛋,12-21 13:54,这20日均线有点远啊？赶紧上来吧？
94,0,明天跌停,VVV天意,12-21 13:53,明天跌停
100,0,还好昨天跑了,股友B2Jg09,12-21 13:43,还好昨天跑了
155,1,黑天鹅的可能性非常大,寻找骆驼草,12-21 13:42,黑天鹅的可能性非常大
139,1,10.56都止不住，还吓唬。坑多人也坏,熊市cao,12-21 13:41,10.56都止不住，还吓唬。坑多人也坏
